0,0,0,0,0,0,0,0,1648597877.5215771
-418032,-411489,-410577,-428933,-3149250,-4090509,-8388608,-8388608,1648597877.7379096
-412876,-415146,-413435,-434977,-3151148,-4094494,-8388608,-8388608,1648597878.0233984
-417079,-414661,-412304,-431782,-3150337,-4092268,-8388608,-8388608,1648597878.0233984
-422923,-411002,-409381,-425399,-3148414,-4088081,-8388608,-8388608,1648597878.0233984
-419576,-411012,-410112,-427724,-3148954,-4089738,-8388608,-8388608,1648597878.0233984
-413382,-414751,-413211,-434494,-3151031,-4094222,-8388608,-8388608,1648597878.0233984
-415949,-415253,-412885,-433086,-3150764,-4093189,-8388608,-8388608,1648597878.0233984
-422559,-411622,-409757,-426109,-3148672,-4088536,-8388608,-8388608,1648597878.0233984
-420912,-410704,-409724,-426648,-3148727,-4089008,-8388608,-8388608,1648597878.0233984
-414039,-414271,-412895,-433733,-3150876,-4093756,-8388608,-8388608,1648597878.0389917
-414743,-415783,-413460,-434224,-3151225,-4093996,-8388608,-8388608,1648597878.0389917
-421585,-412416,-410346,-427189,-3149109,-4089276,-8388608,-8388608,1648597878.0389917
-421708,-410449,-409351,-425736,-3148470,-4088379,-8388608,-8388608,1648597878.0389917
-414845,-413501,-412259,-432526,-3150435,-4092931,-8388608,-8388608,1648597878.0389917
-413887,-415909,-413665,-434892,-3151364,-4094444,-8388608,-8388608,1648597878.0389917
-420661,-413151,-410901,-428389,-3149485,-4090071,-8388608,-8388608,1648597878.0389917
-422605,-410419,-409165,-425191,-3148351,-4088005,-8388608,-8388608,1648597878.0389917
-416223,-412868,-411736,-431316,-3150124,-4092164,-8388608,-8388608,1648597878.054592
-413554,-415936,-413827,-435329,-3151514,-4094788,-8388608,-8388608,1648597878.054592
-419802,-413997,-411608,-429823,-3150008,-4091068,-8388608,-8388608,1648597878.054592
-423311,-410633,-409195,-425042,-3148392,-4087918,-8388608,-8388608,1648597878.054592
-417494,-412123,-411064,-429899,-3149663,-4091203,-8388608,-8388608,1648597878.054592
-413061,-415662,-413711,-435307,-3151435,-4094769,-8388608,-8388608,1648597878.070217
-417991,-414481,-412010,-431004,-3150232,-4091796,-8388608,-8388608,1648597878.070217
-422952,-410771,-409127,-425019,-3148296,-4087827,-8388608,-8388608,1648597878.070217
-418546,-411360,-410331,-428426,-3149141,-4090176,-8388608,-8388608,1648597878.070217
-412939,-415136,-413374,-434867,-3151195,-4094460,-8388608,-8388608,1648597878.070217
-416544,-415021,-412544,-432300,-3150596,-4092664,-8388608,-8388608,1648597878.0858426
-422665,-411271,-409438,-425566,-3148512,-4088191,-8388608,-8388608,1648597878.0858426
-419933,-410867,-409836,-427219,-3148823,-4089380,-8388608,-8388608,1648597878.0858426
-413611,-414590,-413016,-434206,-3150977,-4094046,-8388608,-8388608,1648597878.0858426
-415586,-415414,-412964,-433410,-3150886,-4093407,-8388608,-8388608,1648597878.0858426
-422255,-411801,-409774,-426331,-3148722,-4088669,-8388608,-8388608,1648597878.0858426
-421165,-410514,-409410,-426197,-3148542,-4088696,-8388608,-8388608,1648597878.1014602
-414274,-413967,-412562,-433285,-3150692,-4093464,-8388608,-8388608,1648597878.1079779
-414388,-415754,-413382,-434392,-3151204,-4094109,-8388608,-8388608,1648597878.1079779
-421289,-412589,-410384,-427509,-3149169,-4089489,-8388608,-8388608,1648597878.1079779
-422128,-410435,-409214,-425528,-3148439,-4088272,-8388608,-8388608,1648597878.1079779
-415226,-413252,-411987,-432097,-3150313,-4092687,-8388608,-8388608,1648597878.1079779
-413416,-415769,-413509,-434933,-3151278,-4094467,-8388608,-8388608,1648597878.1079779
-420041,-413280,-410916,-428729,-3149513,-4090287,-8388608,-8388608,1648597878.1079779
-422631,-410326,-408946,-424962,-3148218,-4087838,-8388608,-8388608,1648597878.1079779
-416416,-412397,-411236,-430642,-3149776,-4091676,-8388608,-8388608,1648597878.1079779
-413004,-415541,-413419,-435059,-3151190,-4094527,-8388608,-8388608,1648597878.123647
-418781,-413823,-411336,-429902,-3149749,-4091012,-8388608,-8388608,1648597878.123647
-422809,-410302,-408721,-424639,-3147989,-4087529,-8388608,-8388608,1648597878.123647
-417645,-411645,-410533,-429187,-3149283,-4090682,-8388608,-8388608,1648597878.123647
-412922,-415368,-413408,-435067,-3151245,-4094599,-8388608,-8388608,1648597878.123647
-417568,-414647,-412091,-431432,-3150329,-4092099,-8388608,-8388608,1648597878.1392486
-422976,-410922,-409131,-425156,-3148352,-4087944,-8388608,-8388608,1648597878.1392486
-419091,-411218,-410108,-428017,-3149062,-4089951,-8388608,-8388608,1648597878.1392486
-413083,-414969,-413177,-434650,-3151121,-4094355,-8388608,-8388608,1648597878.1392486
-416034,-415090,-412512,-432583,-3150588,-4092846,-8388608,-8388608,1648597878.1392486
-422404,-411330,-409319,-425637,-3148431,-4088206,-8388608,-8388608,1648597878.1392486
-420347,-410706,-409532,-426756,-3148659,-4089077,-8388608,-8388608,1648597878.1392486
-413705,-414327,-412694,-433792,-3150791,-4093776,-8388608,-8388608,1648597878.1392486
-415069,-415577,-413024,-433742,-3150980,-4093662,-8388608,-8388608,1648597878.1548772
-421957,-412167,-409939,-426726,-3148911,-4088984,-8388608,-8388608,1648597878.1548772
-421608,-410553,-409277,-425925,-3148532,-4088559,-8388608,-8388608,1648597878.1548772
-414648,-413716,-412231,-432794,-3150512,-4093147,-8388608,-8388608,1648597878.1548772
-414194,-415849,-413374,-434589,-3151257,-4094271,-8388608,-8388608,1648597878.1548772
-421081,-412922,-410508,-427901,-3149317,-4089779,-8388608,-8388608,1648597878.1548772
-422354,-410337,-408920,-425144,-3148259,-4087990,-8388608,-8388608,1648597878.1705027
-415591,-412919,-411549,-431462,-3150046,-4092249,-8388608,-8388608,1648597878.1705027
-413322,-415796,-413441,-434996,-3151296,-4094539,-8388608,-8388608,1648597878.1705027
-419709,-413553,-411002,-429110,-3149626,-4090552,-8388608,-8388608,1648597878.1705027
-422882,-410427,-408844,-424839,-3148219,-4087777,-8388608,-8388608,1648597878.1705027
